run_id,total_time_sec,total_bytes_expected,total_bytes_received,success_rate_percent,throughput_mbps,interests_sent,data_packets_received,timeouts,avg_chunk_rtt_ms,avg_cpu_percent,avg_mem_percent
1,41.191,104857600,104857600,100.0,20.365,102400,102400,0,800.396,19.09,36.74
2,45.58,104857600,104857600,100.0,18.404,102400,102400,0,885.146,13.24,37.56
